NUM_SERVERS, ELAPSED
1, 13
2, 14
3, 11
4, 11
NUM_SERVERS, ELAPSED
NUM_SERVERS, ELAPSED
NUM_SERVERS, ELAPSED
1, 10
2, 11
3, 9
4, 9
5, 8
6, 8
NUM_SERVERS, ELAPSED
2, 11
4, 9
6, 8
8, 7
10, 8
12, 8
NUM_SERVERS, ELAPSED
2, 11
4, 8
6, 8
8, 8
10, 8
12, 7
NUM_SERVERS, ELAPSED
10, 8
20, 7
30, 7
40, 7
50, 7
NUM_SERVERS, ELAPSED
10, 7
100, 7
200, 8
300, 11 (server failure and reasign tasks, causing more time.)
